signal,headline/actionable_sentiment_all,headline/sentiment_all,headline/sentiment_non_reuters,headline/sentiment_reuters,llm/finbert,llm/gemma-4-31b,llm/vader
headline/actionable_sentiment_all,1.0,0.8271453432694306,0.8161292341395504,0.4702518099876896,0.4670002153690127,0.5396753306061949,0.38278596667601705
headline/sentiment_all,0.8271453432694306,1.0,0.9889660405996306,0.49264563115513765,0.684096320419234,0.664369509786017,0.585449289315453
headline/sentiment_non_reuters,0.8161292341395504,0.9889660405996306,1.0,0.49620662124185316,0.6812275262091544,0.6623798653038709,0.5935631817172274
headline/sentiment_reuters,0.4702518099876896,0.49264563115513765,0.49620662124185316,1.0,0.4400591432851861,0.39754519317177217,0.47427060271387805
llm/finbert,0.4670002153690127,0.684096320419234,0.6812275262091544,0.4400591432851861,1.0,0.6701118217265528,0.6150600294334426
llm/gemma-4-31b,0.5396753306061949,0.664369509786017,0.6623798653038709,0.39754519317177217,0.6701118217265528,1.0,0.49490750567851366
llm/vader,0.38278596667601705,0.585449289315453,0.5935631817172274,0.47427060271387805,0.6150600294334426,0.49490750567851366,1.0
