date,split,split_date,signal,daily_gross_return,daily_net_return,turnover,active_stock_count
2025-12-29,development,2026-05-02,headline/actionable_sentiment_all,0.0005850763564902759,0.0001305309019448213,0.4545454545454546,15
2025-12-29,development,2026-05-02,headline/sentiment_all,-0.0006598688414087637,-0.0012962324777724002,0.6363636363636364,21
2025-12-29,development,2026-05-02,headline/sentiment_non_reuters,-0.0006598688414087637,-0.0012962324777724002,0.6363636363636364,21
2025-12-29,development,2026-05-02,headline/sentiment_reuters,0.0,0.0,0.0,0
2025-12-29,development,2026-05-02,llm/finbert,-0.0010833980963051118,-0.0017803677932748088,0.696969696969697,23
2025-12-29,development,2026-05-02,llm/gemma-4-31b,-0.0013301783588983438,-0.0018150268437468289,0.48484848484848486,16
2025-12-29,development,2026-05-02,llm/vader,-0.0002825397464327616,-0.0007976912615842768,0.5151515151515151,17
2025-12-30,development,2026-05-02,headline/actionable_sentiment_all,0.0026681477115675437,0.0016984507418705737,0.9696969696969697,33
2025-12-30,development,2026-05-02,headline/sentiment_all,-0.0020194097227201756,-0.0027466824499929026,0.7272727272727273,33
2025-12-30,development,2026-05-02,headline/sentiment_non_reuters,-0.0020194097227201756,-0.0027466824499929026,0.7272727272727273,33
2025-12-30,development,2026-05-02,headline/sentiment_reuters,0.000786230148307658,0.00048319984527735475,0.30303030303030304,10
2025-12-30,development,2026-05-02,llm/finbert,-0.0025279090783393264,-0.0036188181692484176,1.0909090909090908,33
2025-12-30,development,2026-05-02,llm/gemma-4-31b,-0.00029226928651127754,-0.0011407541349961262,0.8484848484848485,32
2025-12-30,development,2026-05-02,llm/vader,-0.0015606566440395998,-0.002409141492524449,0.8484848484848485,31
2025-12-31,development,2026-05-02,headline/actionable_sentiment_all,0.0030219454626504976,0.0023249757656808004,0.696969696969697,32
2025-12-31,development,2026-05-02,headline/sentiment_all,0.005831400775133986,0.00528594622967944,0.5454545454545454,33
