signal,headline/actionable_sentiment_all,headline/sentiment_all,headline/sentiment_non_reuters,headline/sentiment_reuters,llm/finbert,llm/gemma-4-31b,llm/vader
headline/actionable_sentiment_all,1.0,0.8272776575832486,0.8167311101047248,0.4789177355173933,0.4670021992776725,0.5360292227296471,0.38990459768516417
headline/sentiment_all,0.8272776575832486,1.0,0.9888505940502711,0.49505996564277,0.6801716581468474,0.6554652463328459,0.5855121170385664
headline/sentiment_non_reuters,0.8167311101047248,0.9888505940502711,1.0,0.49911141542376225,0.6765691359253503,0.6521448290982405,0.5943562793539953
headline/sentiment_reuters,0.4789177355173933,0.49505996564277,0.49911141542376225,1.0,0.4477354304158536,0.40131496120952187,0.47290357530153676
llm/finbert,0.4670021992776725,0.6801716581468474,0.6765691359253503,0.4477354304158536,1.0,0.6638650723717594,0.6204130391125493
llm/gemma-4-31b,0.5360292227296471,0.6554652463328459,0.6521448290982405,0.40131496120952187,0.6638650723717594,1.0,0.49155981855465847
llm/vader,0.38990459768516417,0.5855121170385664,0.5943562793539953,0.47290357530153676,0.6204130391125493,0.49155981855465847,1.0
