year,sessions,contrast_mean,contrast_negshare
2011,133,-0.009487494398473377,-0.21967503428126162
2012,191,-0.04333366274061742,-0.12469850526338207
2013,187,-0.059706430842764606,-0.04797347258772127
2014,190,-0.0618342525792175,-0.01912028455237154
2015,230,0.025660258409283373,0.0008751062554395076
2016,249,-0.04372491561522964,-0.03945536601527032
2017,243,0.015514715928116112,-0.025228876904404448
2018,250,-0.007449856915340554,-0.020757842866258723
2019,247,0.025732032806565053,0.022224487140246843
