stratum,test,firm_days,sessions,estimate,ci_low,ci_high,p
n >= 2,T1,53367,1920,-0.015194998752729973,-0.03980224965643877,0.009412252150978823,0.22617167709107233
n >= 5,T1,17859,615,-0.027214617626533204,-0.11025061065565775,0.05582137540259135,0.520634227898837
n >= 2,T2,53367,1920,-0.04223532743922574,-0.08206952479379027,-0.00240113008466121,0.03769951364517306
n >= 5,T2,17859,615,-0.045596007435929134,-0.1421123618682941,0.05092034699643583,0.3544869669848689
n >= 2,T3,264683,2263,-0.008272862301094749,-0.01456660946225109,-0.001979115139938409,0.00998671102511834
n >= 5,T3,48862,1880,-0.009780559092135047,-0.025166372983658203,0.0056052547993881065,0.21279256579878425
