session_date,n_names,intercept,r_squared,condition_number,beta_mean_new,beta_mean_known,beta_negshare_new,beta_negshare_known,beta_log1p_n,contrast_mean,contrast_negshare
2011-01-11,11,0.05873974549964643,0.3801547352876987,10.390917848288522,-0.3159684357376197,-0.4538089863169414,-0.17021731185959088,0.614423899231812,0.03329643369011905,0.1378405505793217,-0.7846412110914028
2011-01-18,13,0.054371681862889334,0.5460335783701435,8.812751850122527,0.5304165427890484,-0.3633673014646057,0.6830710644080764,-0.8788026928191122,-0.3849813413485283,0.8937838442536541,1.5618737572271886
2011-01-20,15,0.008017864840464161,0.184835139547194,9.725914102070924,-0.12120250535816336,0.23257549042134534,-0.155813772703316,0.41799739797970537,0.3859074444465025,-0.3537779957795087,-0.5738111706830213
2011-01-21,11,-0.10778227739894232,0.6109937187309484,11.264343222101406,0.4293383310329093,1.0655773985806198,0.9939125949551805,0.6488397969314285,0.23354198127659395,-0.6362390675477105,0.345072798023752
2011-01-24,12,0.1310383860396792,0.5561738661660316,12.8479328952549,0.1821322970954211,-0.9121216331140002,-0.662440860381318,-0.7829829587244974,0.03049189017209448,1.0942539302094212,0.12054209834317942
2011-01-26,11,-0.00502241543188208,0.46832851897996997,12.072872278069777,0.8671545437559436,-0.24525753658544866,0.23565147769560227,-0.017377205955031096,0.2703218605903395,1.1124120803413922,0.25302868365063336
2011-01-27,11,0.06956299527811038,0.8961052545610959,15.76714212567928,-1.007410818379517,0.16327791902533526,-0.39495738495582927,0.4520847021538972,0.25661968603768515,-1.1706887374048522,-0.8470420871097264
2011-01-31,11,-0.10715544619257064,0.5813143116748607,13.229810902388818,0.7253450304154486,0.52995914593132,1.3857074361359603,0.5283192613484429,0.18808894240538204,0.19538588448412864,0.8573881747875174
2011-02-25,13,-0.024789451940768335,0.38004946921681604,13.205738847276185,0.42059072087045013,0.3947656916339439,-0.22459037803675855,1.4725444339310065,-0.41878471793866606,0.025825029236506203,-1.6971348119677652
2011-03-08,11,0.09983705895090302,0.43678369653924765,10.10071413816414,-0.9597130436497158,0.2792170823623137,-0.5621298092087906,0.15532372955851043,-0.10911325598218423,-1.2389301260120296,-0.7174535387673011
2011-03-10,12,-0.07257063843876248,0.4635141373973729,10.269490411481943,0.7639868265397044,0.30691274733695945,0.6894802936294898,0.7499901412161442,0.23132531380799862,0.45707407920274495,-0.06050984758665434
2011-03-28,11,-0.0019280997404336883,0.7116324147205557,19.27028155297587,0.48584123287245445,-0.03334264562654033,1.300492740148488,-1.2039488632598099,0.49337573015494746,0.5191838784989948,2.504441603408298
2011-04-08,12,-0.015485266806074791,0.20761880476485017,16.10717142599181,0.5433075041733809,0.07847544048906223,0.9709180505014331,0.2528642923219757,-0.47391888414005756,0.4648320636843187,0.7180537581794574
2011-04-11,12,0.1771832421181123,0.9194508154625802,10.511526879250747,0.29797873090130095,-1.5657421444413917,-0.9737327460115759,-0.9078322744418681,-0.10306937684116203,1.8637208753426926,-0.0659004715697078
2011-04-12,13,0.1476791701075509,0.47094773082905583,13.85525906767698,-1.2182463838981332,0.026919748733047616,-0.4583299579078463,-1.101234500760791,-0.08876732896259638,-1.245166132631181,0.6429045428529447
2011-04-13,10,-0.022485060447140864,0.5022627256804666,12.529152480953693,0.8310030810138199,-0.42187743291930235,-0.19740064883080352,0.6022389927790237,0.6357372169000789,1.2528805139331223,-0.7996396416098273
2011-04-20,10,0.1137324020645329,0.5960176847219978,12.318764433868836,-0.9203312979158965,0.058021128454197546,-1.3239934495499623,0.8952431915899984,0.016412386131005992,-0.978352426370094,-2.2192366411399607
2011-04-25,16,0.041099625434923924,0.44258821548382743,13.148657124813258,-0.8266411771526769,0.264281823112425,-1.1613887909170206,0.6875549671692897,0.7210051638704191,-1.0909230002651018,-1.8489437580863104
2011-04-28,10,0.07720553039942751,0.5375716784034991,8.764839229590361,0.09429117348634619,-0.3238529991641344,-0.33657099862539,0.5504936618688037,-0.5284714455541768,0.4181441726504806,-0.8870646604941936
2011-04-29,10,0.10704264751235615,0.5781266854648255,13.927437094480533,-0.2261629663992165,0.07969119517353225,-1.0563956255462106,-0.1802311536862958,0.24224560021106833,-0.30585416157274875,-0.8761644718599148
2011-05-03,11,0.18502509914999593,0.657903986959901,10.803024716210704,-0.5857006709520595,-0.6146016015520825,-1.0499136163835232,-0.7030557083498368,-0.11728058406240852,0.028900930600023078,-0.34685790803368644
2011-05-04,12,0.2073957765804587,0.766446856138993,13.663652826954502,-1.0499010747478636,-0.6459084112862726,-0.9848695430724373,-1.6536868323865417,0.35686722356210854,-0.403992663461591,0.6688172893141043
2011-05-06,14,-0.018920267829083192,0.45533645917861265,8.041400563326203,0.7260368330300907,-0.12335316204580582,0.3775746188542063,0.6991415907000404,-0.1496323813242022,0.8493899950758965,-0.32156697184583416
2011-05-10,13,-0.012623155257955775,0.6645192836795042,11.939295224275494,0.20548654104067876,-0.1714352159168378,-0.07043888507372462,0.8898051070856785,0.47478448957105546,0.37692175695751656,-0.9602439921594031
2011-05-18,12,-0.03437359619440972,0.19489566310199868,12.057336641754615,0.0005982902760726578,0.5089878137627375,0.3330201334385621,0.4928128281662654,0.4895472430221943,-0.5083895234866649,-0.1597926947277033
2011-05-19,13,0.00907871784453647,0.615590542210707,17.448353138584643,0.5325147668253662,0.15259058823829716,0.6750098632050595,0.37563408899224626,-0.971795971218918,0.37992417858706906,0.29937577421281325
2011-05-20,10,0.121457907198758,0.2639946748130426,10.598272836792832,0.3970716659369495,-0.7412603127036496,0.07638041021377126,-0.903289253102863,-0.25806065431936814,1.138331978640599,0.9796696633166343
