jaccard_threshold,stories,already_known,already_known_share,exact_repeat_share
0.4,1183961,167623,0.1415781431989736,0.0133762851985834
0.5,1183961,111963,0.09456645953709623,0.0133762851985834
0.6,1183961,69252,0.05849179153705232,0.0133762851985834
0.8,1183961,30377,0.02565709512391033,0.0133762851985834
