input,path,expected_sha256,actual_sha256,match
fnspid_story_novelty,final_experiments/outputs/02_filters_and_distribution/story_novelty.parquet,1d708b60e0a33847053f8eeff4be47145b3e51019a0f1177e2ca8183bd1739d4,1d708b60e0a33847053f8eeff4be47145b3e51019a0f1177e2ca8183bd1739d4,True
fnspid_firm_day_aggregators,final_experiments/outputs/03_aggregation/firm_day_aggregators.parquet,1ca1c38109bc06af232119adeff17de66a567174d457038bc923a930a2da61f1,1ca1c38109bc06af232119adeff17de66a567174d457038bc923a930a2da61f1,True
fnspid_finbert_checkpoint,reports/loop_moment2_finbert_20260719/finbert_checkpoint.sqlite3,1d4981448bdc1564652be9a1f19ee855bd435e141cdb832381a58ab03c04637f,1d4981448bdc1564652be9a1f19ee855bd435e141cdb832381a58ab03c04637f,True
