model,statistic,sessions,estimate,ci_low,ci_high,p
mean legs only,beta_mean_new,2041,0.005961801991537005,-0.004524177206380838,0.01644778118945485,0.2651345337733044
mean legs only,beta_mean_known,2041,0.0030333133676250824,-0.008511440386248188,0.014578067121498353,0.6065750060129727
mean legs only,contrast,2041,0.0029284886239119225,-0.013702813531149518,0.019559790778973362,0.7300069954837064
negative-share legs only,beta_negshare_new,1920,-0.023439759482525815,-0.04102965401785846,-0.005849864947193171,0.009006995459606718
negative-share legs only,beta_negshare_known,1920,0.002949217283225431,-0.01926350414876777,0.02516193871521863,0.7946883382999476
negative-share legs only,contrast,1920,-0.02638897676575124,-0.05914467780393617,0.006366724272433684,0.11433471180468416
