test,name,threshold,sample,sessions,estimate,hac_ci_low,hac_ci_high,hac_p,block_ci_low,block_ci_high,expected_direction,direction_matches,bh_reject,bh_q,supports_novelty_conditioning
T1,mean: new − already known,0.5,primary,1920,-0.015194998752729973,-0.03980224965643877,0.009412252150978823,0.22617167709107233,-0.038968378041861054,0.008704973657957272,positive,False,False,0.22617167709107233,False
T2,negative share: new − already known,0.5,primary,1920,-0.04223532743922574,-0.08206952479379027,-0.00240113008466121,0.03769951364517306,-0.08109423953581853,-0.005297640259605788,negative,True,False,0.05654927046775959,False
T3,already-known share beyond frozen regressors,0.5,primary,2263,-0.008815173501900888,-0.013871924532854662,-0.0037584224709471137,0.0006338410409233897,-0.01422478304890109,-0.0034312589287715297,none,True,True,0.001901523122770169,True
