stratum,firm_days,sessions,estimate,ci_low,ci_high,p,status
n = 1 (fixed bin),247470,0,,,,,not estimable — log1p_n is constant within a fixed-n bin
all firm-days,512153,2263,-0.008815173501900888,-0.013871924532854662,-0.0037584224709471137,0.0006338410409233897,estimated
n ≥ 2,264683,2263,-0.008272862301094749,-0.01456660946225109,-0.001979115139938409,0.00998671102511834,estimated
n ≥ 3,137142,2261,-0.005285425096123949,-0.013802135697767151,0.0032312855055192536,0.22385422019153,estimated
n ≥ 6,32186,1389,-0.012915336711112996,-0.03311995094883585,0.007289277526609858,0.2102559080712666,estimated
