input,expected_sha256,actual_sha256,match
fnspid_firm_day_aggregators,1ca1c38109bc06af232119adeff17de66a567174d457038bc923a930a2da61f1,1ca1c38109bc06af232119adeff17de66a567174d457038bc923a930a2da61f1,True
fnspid_story_novelty,1d708b60e0a33847053f8eeff4be47145b3e51019a0f1177e2ca8183bd1739d4,1d708b60e0a33847053f8eeff4be47145b3e51019a0f1177e2ca8183bd1739d4,True
fnspid_finbert_checkpoint,1d4981448bdc1564652be9a1f19ee855bd435e141cdb832381a58ab03c04637f,1d4981448bdc1564652be9a1f19ee855bd435e141cdb832381a58ab03c04637f,True
fnspid_price_archive,03da4fce7ebea90d5715ba3501773d410ae663b617027b338ef000a9955dab91,03da4fce7ebea90d5715ba3501773d410ae663b617027b338ef000a9955dab91,True
