year,sessions,estimate,ci_low,ci_high,p
2011,251,-0.009487300314793994,-0.028439259695713818,0.00946465906612583,0.3265174243522786
2012,250,-0.00762911746825874,-0.02157644394011739,0.00631820900359991,0.2836794092308411
2013,252,-0.018006780106076797,-0.035015957492590344,-0.000997602719563246,0.037994177889084386
2014,252,-0.026150699385861315,-0.04187827912969773,-0.0104231196420249,0.0011184961235848774
2015,252,0.007107655542388308,-0.00863606938594011,0.022851380470716727,0.37624048900227247
2016,252,-0.013280277277998445,-0.025263001609183683,-0.0012975529468132064,0.029840634946296463
2017,251,-0.0024219773917867407,-0.015161107569220013,0.010317152785646532,0.7094234687650369
2018,251,0.009102649942354202,-0.0048624867893245875,0.023067786674032992,0.20141557691757161
2019,252,-0.01846749678402382,-0.030206038775314838,-0.006728954792732805,0.002045908129298557
