book,sessions,mean_gross_bps,mean_net_bps,sharpe_gross,sharpe_net,breakeven_bps_per_side,net_ci_low_bps,net_ci_high_bps,net_ending_return
B1 raw known_share,998,-0.279767565099052,-13.909059710959314,-0.08766782330742831,-4.36053088909472,-0.20526932881398993,-16.75786103173203,-11.573375593633259,-0.7539364130924657
B2 conditional residual,997,-0.19220129861551588,-15.418710971289395,-0.06194641395432397,-4.969006575274093,-0.12622807376561698,-17.77686685997086,-13.096908948683753,-0.7877737827114131
