model,sessions,estimate,ci_low,ci_high,p,check
T3 base (replication),2263,-0.008815173501900888,-0.013871924532854662,-0.0037584224709471137,0.0006338410409233897,base
M1 repeated negative stories,2196,-0.001758569510068586,-0.016068199565910955,0.012551060545773783,0.8096573738618582,M1
M1 repeated non-negative stories,2196,-0.009622069411486701,-0.015033721979568912,-0.004210416843404489,0.0004923748983310228,M1
"M2 same sample, no price controls",2263,-0.008789768607192543,-0.013847700995289817,-0.0037318362190952694,0.0006590727704119442,M2
M2 with price-path controls,2263,-0.007737469415672582,-0.012737336875086824,-0.00273760195625834,0.0024204520325846724,M2
M3 exact repeats only,2236,-0.008564929212086743,-0.02168424818739903,0.004554389763225546,0.200700005754345,M3
