metric,price_only_minus_v1,refit_only_minus_v1,v2_minus_v1,interaction
m1_hit_rate,2.3996803208501533e-05,-0.0008701449511248002,-0.000844061469376399,2.0866785398997167e-06
m2_hit_rate,8.346714159501722e-06,-0.0007918945058797977,-0.0008252813625175999,-4.1733570797303915e-05
std_z,-0.004886328922391492,-0.0160472095393831,-0.021119933277618408,-0.00018639481584381556
m1_es_residual,-0.00021672895665640016,-0.0010382829582433,-0.0012659931580700002,-1.0981243170300053e-05
