variant,price_repair,volatility_refit,m1_hit_rate,m2_hit_rate,std_z,m1_es_residual,coverage_rejections
v1,none,frozen_development,0.0306626978040838,0.0306470477150348,1.1173451651857151,0.0046217288134354,8
price_only,min_abs_return,frozen_development,0.0306866946072923,0.0306553944291943,1.1124588362633236,0.004404999856779,8
refit_only,none,annual_expanding,0.029792552852959,0.029855153209155,1.101297955646332,0.0035834458551921,8
v2,min_abs_return,annual_expanding,0.0298186363347074,0.0298217663525172,1.0962252319080967,0.0033557356553654,8
